Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
93,Chitta Kurta,Karan Aujla,214242,https://open.spotify.com/track/7mUuarQfB0E0Xs80Vzd2gw,2020,1,24,in,0.834,0.738,8,-6.904,0,0.199,0.2,0,0.0797,0.656,89.99,217260,4
94,"Odhani (From ""Made in China"")",Sachin-Jigar,212229,https://open.spotify.com/track/2q0V50aNlI1RQXJyE5HDgD,2020,1,24,in,0.711,0.731,2,-6.651,1,0.0569,0.233,0,0.178,0.474,130.0,195397,4
95,Dhakka,Sidhu Moose Wala,209763,https://open.spotify.com/track/2fPPWdQuHY3CxPIOk6qbwH,2020,1,24,in,0.734,0.715,4,-6.437,0,0.338,0.0857,1e-05,0.864,0.764,176.026,246818,4
96,The Hook Up Song,Vishal-Shekhar,207240,https://open.spotify.com/track/1bLNqR3bqpyWkwWKECjVrw,2020,1,24,in,0.846,0.786,1,-4.607,1,0.0519,0.131,0.000384,0.0835,0.523,106.023,213947,4
97,Kohinoor,DIVINE,207178,https://open.spotify.com/track/1VYMsDdZ3toHtlZxAGS95n,2020,1,24,in,0.634,0.884,6,-6.259,1,0.334,0.0994,0,0.266,0.39,103.973,198857,4
98,Old Town Road - Remix,Lil Nas X,205612,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,2020,1,24,in,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,157067,4
99,Cradles,Sub Urban,204553,https://open.spotify.com/track/1y4jsQt7MjnZhiD1L6qFBC,2020,1,24,in,0.534,0.589,1,-1.865,1,0.325,0.256,6.02e-05,0.176,0.632,78.616,209829,4
100,Laal Ghaghra,Neha Kakkar,204517,https://open.spotify.com/track/3QxnfqVDPX1IkXu4SnRS2s,2020,1,24,in,0.77,0.969,2,-0.179,1,0.0661,0.154,0,0.0809,0.692,134.983,268889,4
1,"Illegal Weapon 2.0 (From ""Street Dancer 3D"")",Jasmine Sandlas,1329928,https://open.spotify.com/track/5fXslGZPI5Cco6PKHzlSL3,2020,1,31,in,0.805,0.919,1,-1.294,1,0.0938,0.101,0.00343,0.0598,0.494,94.993,188606,4
2,"Shayad (From ""Love Aaj Kal"")",Pritam,1038117,https://open.spotify.com/track/018eOid2aGaPdxon7T6GsC,2020,1,31,in,0.487,0.456,8,-7.144,1,0.0319,0.789,1.79e-06,0.141,0.348,136.088,247941,4
3,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,1020343,https://open.spotify.com/track/6q9XTgfWilsnyiFofvYrIF,2020,1,31,in,0.788,0.87,9,-5.217,1,0.177,0.123,1.43e-05,0.0692,0.884,109.974,182739,4
4,Falling,Trevor Daniel,988951,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,2020,1,31,in,0.785,0.431,10,-8.756,0,0.0364,0.123,0,0.0887,0.236,127.085,159382,4
5,"Muqabla (From ""Street Dancer 3D"")",Yash Narvekar,971641,https://open.spotify.com/track/28veUNu4veN0LOBVa0nFw8,2020,1,31,in,0.804,0.913,0,-3.135,1,0.0933,0.0248,2.84e-05,0.391,0.544,119.993,176125,4
6,Yummy,Justin Bieber,886645,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l,2020,1,31,in,0.687,0.514,9,-6.612,0,0.0897,0.366,0,0.116,0.494,145.921,210427,4
7,"Haan Main Galat (From ""Love Aaj Kal"")",Pritam,884401,https://open.spotify.com/track/068HSvCf5MbQfhV4qqaelg,2020,1,31,in,0.685,0.736,0,-5.656,1,0.0521,0.0997,0.0112,0.101,0.893,117.979,218644,4
8,Makhna,Tanishk Bagchi,852523,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga,2020,1,31,in,0.696,0.704,1,-7.876,1,0.0423,0.167,0,0.155,0.426,124.972,183000,4
9,"Malang (Title Track) [From ""Malang - Unleash The Madness""]",Ved Sharma,820512,https://open.spotify.com/track/25MPTnqXQB1H6OkwSYUXWx,2020,1,31,in,0.384,0.728,7,-6.503,0,0.0623,0.329,1.85e-05,0.329,0.311,156.396,287374,4
10,"Lagdi Lahore Di (From ""Street Dancer 3D"")",Guru Randhawa,732515,https://open.spotify.com/track/5I2wbDvSI98HLVB42YO9sU,2020,1,31,in,0.786,0.797,6,-4.063,1,0.0414,0.233,0,0.0861,0.453,95.014,215368,4
11,"Ghungroo (From ""War"")",Arijit Singh,711718,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44,2020,1,31,in,0.695,0.727,6,-6.274,0,0.0323,0.0744,0.000175,0.533,0.864,118.034,302935,4
12,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,673438,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU,2020,1,31,in,0.427,0.396,11,-7.556,1,0.0366,0.736,0,0.11,0.306,70.368,284780,4
13,Memories,Maroon 5,666703,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2020,1,31,in,0.764,0.32,11,-7.209,1,0.0546,0.837,0,0.0822,0.575,91.019,189486,4
14,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")",Rochak Kohli,650631,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp,2020,1,31,in,0.718,0.382,7,-8.237,1,0.0466,0.585,0,0.128,0.499,87.029,200992,4
15,Blinding Lights,The Weeknd,642848,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,2020,1,31,in,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,201573,4
16,Yaad Piya Ki Aane Lagi,Neha Kakkar,617963,https://open.spotify.com/track/0TkquWzzuxcrwbCWlTrKYF,2020,1,31,in,0.858,0.833,5,-3.747,0,0.0471,0.375,0,0.112,0.693,107.977,256678,4
17,Señorita,Shawn Mendes,591636,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2020,1,31,in,0.759,0.548,9,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967,190800,4
18,"Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]",Mithoon,568961,https://open.spotify.com/track/2U0BLmYoSESYOdwMxW2yA9,2020,1,31,in,0.285,0.238,5,-9.623,0,0.0375,0.663,9.23e-06,0.0793,0.213,179.918,340672,4
19,Godzilla (feat. Juice WRLD),Eminem,566413,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,2020,1,31,in,0.808,0.745,10,-5.26,0,0.342,0.145,0,0.292,0.829,165.995,210800,4
20,"Tum Hi Aana (From ""Marjaavaan"")",Payal Dev,538566,https://open.spotify.com/track/6E9UwSfT80age2xknoMS7Y,2020,1,31,in,0.473,0.401,4,-7.018,0,0.0241,0.629,1.17e-05,0.154,0.345,90.076,249127,4
21,ROXANNE,Arizona Zervas,535124,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,2020,1,31,in,0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735,163636,5
22,"Humraah (From ""Malang - Unleash The Madness"")",Sachet Tandon,488385,https://open.spotify.com/track/4xmkpE1Si5JL7NFxWrhV0S,2020,1,31,in,0.468,0.854,11,-3.932,0,0.059,0.176,0,0.126,0.277,155.867,299822,4
23,"Dheeme Dheeme (From ""Pati Patni Aur Woh"")",Tony Kakkar,479490,https://open.spotify.com/track/7ofWUKeNCUw1P64ArIwG9b,2020,1,31,in,0.8,0.972,10,-2.053,0,0.0405,0.15,0.00337,0.351,0.694,110.054,177383,4
24,Buttabomma - Telugu,Armaan Malik,466543,https://open.spotify.com/track/0dnDTvdUco2UbaBjUtPxNS,2020,1,31,in,0.666,0.644,11,-8.964,0,0.145,0.753,0.000262,0.124,0.89,115.1,198783,4
25,Pal Pal Dil Ke Paas- Title Track,Arijit Singh,463961,https://open.spotify.com/track/7lGhrfren1Zpwh0ds0zuUg,2020,1,31,in,0.56,0.512,1,-7.185,0,0.0333,0.592,0,0.056,0.39,123.991,254516,4
26,Sauda Khara Khara,Diljit Dosanjh,434063,https://open.spotify.com/track/1v8H06ctqfMX8IUxU9nCaI,2020,1,31,in,0.687,0.919,10,-3.28,1,0.0635,0.0939,4.38e-06,0.105,0.877,145.037,211034,4
27,"Duniyaa (From ""Luka Chuppi"")",Akhil,423659,https://open.spotify.com/track/2tjWCe2W7sgvS3C8NHcdtI,2020,1,31,in,0.435,0.658,7,-5.949,0,0.0368,0.699,0,0.125,0.524,77.17,222501,4
28,Circles,Post Malone,409303,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2020,1,31,in,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
29,bad guy,Billie Eilish,408213,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2020,1,31,in,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
30,"Bekhayali (From ""Kabir Singh"")",Sachet Tandon,403036,https://open.spotify.com/track/1feANd8EfcDP5UqSvbheM3,2020,1,31,in,0.308,0.585,9,-5.18,0,0.0428,0.45,0,0.319,0.345,171.843,371791,3
31,"Tera Ban Jaunga (From ""Kabir Singh"")",Akhil Sachdeva,397128,https://open.spotify.com/track/4OcvkkpF3xmyCGGY5IBlgi,2020,1,31,in,0.605,0.53,11,-6.346,1,0.0246,0.822,0,0.131,0.399,93.951,236437,4
32,"Mere Sohneya (From ""Kabir Singh"")",Sachet Tandon,391900,https://open.spotify.com/track/2IoZMG3RqiTmsy7Li3zGFg,2020,1,31,in,0.376,0.643,9,-5.713,1,0.0411,0.558,0,0.217,0.646,136.224,193356,5
33,"O Saki Saki (From ""Batla House"")",Neha Kakkar,383144,https://open.spotify.com/track/5djZm1zFGcJUSUqbBjrAZH,2020,1,31,in,0.737,0.961,10,-0.155,0,0.0747,0.163,0,0.361,0.567,108.014,191089,4
34,Ve Maahi,Arijit Singh,378824,https://open.spotify.com/track/7ltu5scschhmNWp5rp8rVF,2020,1,31,in,0.65,0.551,0,-6.906,1,0.0274,0.405,0,0.219,0.294,102.934,223999,4
35,8 Parche,Baani Sandhu,371737,https://open.spotify.com/track/42ETKyApzUl8hTtytFAjen,2020,1,31,in,0.652,0.862,8,-2.29,0,0.206,0.161,0,0.203,0.727,173.859,210000,4
36,Rare,Selena Gomez,369392,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19,2020,1,31,in,0.838,0.545,5,-6.713,1,0.0706,0.208,8.01e-05,0.103,0.631,114.998,220590,4
37,everything i wanted,Billie Eilish,365498,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,2020,1,31,in,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4
38,Chal Bombay,DIVINE,359016,https://open.spotify.com/track/6AooRgSRDzbCYL4NZ4RCjU,2020,1,31,in,0.862,0.619,6,-6.645,0,0.318,0.0434,0,0.117,0.512,95.036,174000,4
39,"Pyaar Tenu Karda Gabru (From ""Shubh Mangal Zyada Saavdhan"")",Romy,355941,https://open.spotify.com/track/0OcVZqIer0LLu3K8sdU5Yb,2020,1,31,in,0.808,0.901,1,-1.944,1,0.0907,0.0205,0.000762,0.262,0.709,93.026,165582,4
40,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,352503,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,2020,1,31,in,0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96,157560,4
41,Filhall,B Praak,344315,https://open.spotify.com/track/6E7P1uT2afeor2t6wR2y2r,2020,1,31,in,0.525,0.659,0,-4.14,0,0.0558,0.605,0,0.134,0.586,79.911,255000,4
42,Samajavaragamana,Sid Sriram,339414,https://open.spotify.com/track/3j9DrRebdWK1jkpOw9FZUy,2020,1,31,in,0.568,0.663,8,-6.179,1,0.0345,0.91,4.82e-05,0.124,0.808,165.203,219818,3
43,My Oh My (feat. DaBaby),Camila Cabello,337838,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,2020,1,31,in,0.724,0.491,8,-6.024,1,0.0296,0.018,1.29e-05,0.0887,0.383,105.046,170746,4
44,Sakhiyaan,Maninder Buttar,336994,https://open.spotify.com/track/3sqRODOZ1Z6hR4F2tnFAlg,2020,1,31,in,0.706,0.674,9,-5.932,1,0.044,0.3,0,0.202,0.359,83.001,179326,4
45,Naagin,Vayu,330938,https://open.spotify.com/track/7gAyu0od48mkaCw1laPKVC,2020,1,31,in,0.807,0.5,9,-10.361,1,0.0581,0.0335,8.73e-06,0.0967,0.243,97.09,157000,4
46,On My Way,Alan Walker,329860,https://open.spotify.com/track/7KhHA3mzt7A3LFlOJEAKpI,2020,1,31,in,0.509,0.689,1,-4.929,0,0.102,0.0209,0,0.301,0.297,170.087,193798,4
47,"Kaise Hua (From ""Kabir Singh"")",Vishal Mishra,329610,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC,2020,1,31,in,0.385,0.464,2,-6.975,1,0.0404,0.452,0,0.109,0.15,137.839,234722,4
48,"Shaitan Ka Saala (From ""Housefull 4"")",Sohail Sen,323274,https://open.spotify.com/track/7IAJzec1UxGYmNvbPTHbxx,2020,1,31,in,0.844,0.772,7,-4.621,1,0.194,0.284,2.38e-06,0.368,0.336,100.008,147395,4
49,Baari,Bilal Saeed,322974,https://open.spotify.com/track/7cuYb19oTyv1tLTgzH7qpv,2020,1,31,in,0.651,0.538,3,-7.043,1,0.0413,0.854,1.42e-06,0.0999,0.467,79.985,235297,4
50,Black Swan,BTS,322486,https://open.spotify.com/track/24NuEDgyRIljwSyY0lsr7b,2020,1,31,in,0.719,0.758,2,-5.167,0,0.0851,0.137,0,0.129,0.49,147.023,198261,4
51,Chandigarh Mein,Badshah,318474,https://open.spotify.com/track/5RHCtCi4k67doox07JmHTf,2020,1,31,in,0.809,0.873,6,-2.455,0,0.0556,0.00612,9.07e-06,0.0732,0.34,100.013,205200,4
52,"Dua Karo (From ""Street Dancer 3D"")",Arijit Singh,312681,https://open.spotify.com/track/5zEx8v8GJKoTx55zGeq8me,2020,1,31,in,0.463,0.828,0,-4.605,0,0.0857,0.124,0,0.141,0.335,170.081,269382,4
