Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
41,Resenha lá em casa,MC Kevin o Chris,1670487,https://open.spotify.com/track/3NnW2EqJxvHYrRy3upaznl,2019,11,29,br,0.674,0.447,5,-3.761,1,0.493,0.688,0,0.182,0.824,150.237,236852,4
42,Ela É do Tipo (feat. Drake) - Remix,MC Kevin o Chris,1652996,https://open.spotify.com/track/7qLnSuxwLNlcapat8OCWZp,2019,11,29,br,0.576,0.524,6,-5.428,1,0.24,0.89,0,0.108,0.715,99.387,212433,3
43,Señorita,Shawn Mendes,1636944,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019,11,29,br,0.759,0.548,9,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967,190800,4
44,Vou Ter Que Superar - Ao Vivo,Matheus & Kauan,1625101,https://open.spotify.com/track/6sRLrSetyIwIKhW1eMlUNP,2019,11,29,br,0.505,0.721,1,-5.86,1,0.061,0.768,0,0.869,0.421,106.248,189059,4
45,Espaçosa Demais - Ao Vivo,Felipe Araújo,1585296,https://open.spotify.com/track/4lEw9Id7kLDSJ6KRdaenM9,2019,11,29,br,0.676,0.888,10,-3.658,1,0.0783,0.375,0,0.231,0.711,160.034,179100,4
46,Carreira Solo - Ao Vivo,Gusttavo Lima,1585053,https://open.spotify.com/track/6ZWkf3FDQQmyeel23ECpIP,2019,11,29,br,0.806,0.933,2,-1.152,1,0.0376,0.409,0,0.871,0.916,126.957,215767,4
47,Gelo,Melim,1582355,https://open.spotify.com/track/0J6cINt02c8UQqDG7vLShY,2019,11,29,br,0.542,0.563,0,-7.446,1,0.0958,0.242,0,0.109,0.897,169.909,149728,4
48,Tão Linda,Atitude 67,1564105,https://open.spotify.com/track/59WWulo1LM0njpIkcduCMn,2019,11,29,br,0.877,0.557,9,-9.074,1,0.0911,0.169,0,0.265,0.829,152.874,147843,4
49,Aí Eu Bebo - Ao Vivo,Maiara & Maraisa,1514159,https://open.spotify.com/track/6lK3nCiigk34SGqEjpQoqO,2019,11,29,br,0.827,0.683,11,-5.113,0,0.0719,0.479,0,0.409,0.85,135.944,173892,4
50,Café,Vitão,1476720,https://open.spotify.com/track/6i9ToXS6CAfjpp8veBklg1,2019,11,29,br,0.776,0.5,11,-4.788,1,0.0979,0.0537,0,0.344,0.491,92.027,190435,4
51,Don't Start Now,Dua Lipa,1463176,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,2019,11,29,br,0.794,0.793,11,-4.521,0,0.0842,0.0125,0,0.0952,0.677,123.941,183290,4
52,Baile da Colômbia (Brega Funk) - Remix,MC Ysa,1462960,https://open.spotify.com/track/2qiqXQ2Suc253bR7k9AKVD,2019,11,29,br,0.838,0.568,5,-5.555,0,0.111,0.419,0,0.0617,0.939,170.015,124000,4
53,Brisa,IZA,1352414,https://open.spotify.com/track/5rNNZ6fVYxkhwqUfImVhU1,2019,11,29,br,0.693,0.822,8,-2.478,1,0.259,0.459,0,0.261,0.791,159.663,151500,4
54,Relógio Parado (Ao Vivo),Diego & Arnaldo,1329546,https://open.spotify.com/track/5n8Y78Pl5q8lqS7sJP61qw,2019,11,29,br,0.741,0.943,1,-1.401,1,0.0456,0.0486,0,0.965,0.725,124.987,180736,4
55,Áudio - Ao Vivo em Brasília,Diego & Victor Hugo,1295956,https://open.spotify.com/track/2PqPSf3gtTED79rWGwVtYg,2019,11,29,br,0.605,0.812,11,-4.699,1,0.0403,0.515,0,0.419,0.451,110.081,190245,4
56,Bebi Minha Bicicleta (Coração Falido) - Ao Vivo,Zé Neto & Cristiano,1288058,https://open.spotify.com/track/2Q9TaUXNM4mNSCgJjbmsJe,2019,11,29,br,0.39,0.903,0,-3.846,1,0.409,0.445,0,0.911,0.47,195.62,181670,4
57,Perrengue - Ao Vivo,Gusttavo Lima,1271192,https://open.spotify.com/track/5pddmkNwatcLOEqDqj7xEp,2019,11,29,br,0.826,0.866,0,-1.517,1,0.0355,0.332,0,0.665,0.909,123.11,211483,4
58,Solteiro Não Trai - Ao Vivo,Gustavo Mioto,1267128,https://open.spotify.com/track/7oEr56KG6odStlQH0nvdyr,2019,11,29,br,0.493,0.832,10,-3.42,1,0.201,0.483,0,0.956,0.599,157.964,187349,4
59,Notificação Preferida - Ao Vivo,Zé Neto & Cristiano,1256134,https://open.spotify.com/track/3tA0vALUwrzkTgHcm9j6oJ,2019,11,29,br,0.398,0.838,8,-4.734,0,0.13,0.778,0,0.189,0.206,156.008,182341,3
60,Parabéns,Pabllo Vittar,1250013,https://open.spotify.com/track/6X0XdIcgwfVa9orJnDMQB0,2019,11,29,br,0.723,0.856,1,-5.596,1,0.0562,0.00687,2.48e-06,0.397,0.688,170.106,136844,4
61,Nem de Graça / Saudade Arregaça - Ao Vivo,Pixote,1248193,https://open.spotify.com/track/3rDAHk73LZmgJIyGZstWQ0,2019,11,29,br,0.477,0.813,10,-5.919,1,0.0743,0.605,0,0.467,0.75,97.888,342622,4
62,Sei Lá,Projota,1247908,https://open.spotify.com/track/6l1PdE7lQbodewVQh16GCM,2019,11,29,br,0.661,0.43,6,-8.738,1,0.0422,0.519,0,0.111,0.962,151.955,190364,3
63,Se Prepara 2,Mc Livinho,1237745,https://open.spotify.com/track/0CgMeXQiNYJxPVQ2EMJxdL,2019,11,29,br,0.648,0.453,8,-8.969,0,0.522,0.106,3.78e-06,0.106,0.359,130.199,147336,4
64,Evoluiu,MC Kevin o Chris,1221487,https://open.spotify.com/track/0WhDotK0QXigmsrlw0DxKK,2019,11,29,br,0.776,0.465,7,-6.368,0,0.434,0.466,0,0.363,0.694,149.829,179644,4
65,Meu Abrigo,Melim,1219149,https://open.spotify.com/track/5U28PY9MekLyCBYtLHGQpe,2019,11,29,br,0.658,0.572,3,-7.527,1,0.0304,0.214,0,0.125,0.741,92.011,231474,4
66,Também Sei Fazer Falta - Ao Vivo,Israel & Rodolffo,1189273,https://open.spotify.com/track/6hrV6KYL9zM8vFAbOSxFHY,2019,11,29,br,0.715,0.761,0,-5.539,1,0.0683,0.523,0,0.684,0.783,151.932,156838,4
67,Estado Decadente - Acústico,Zé Neto & Cristiano,1172031,https://open.spotify.com/track/4eB8rsNNm5791m3uvEBNLR,2019,11,29,br,0.757,0.687,1,-4.78,1,0.0658,0.586,0,0.111,0.583,117.927,173831,4
68,Lalala,Y2K,1161115,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,2019,11,29,br,0.843,0.391,2,-7.899,1,0.0845,0.181,0,0.137,0.496,129.972,160627,4
69,Cobaia,Lauana Prado,1128147,https://open.spotify.com/track/1xyVMQx51Kab6eLVtE6twx,2019,11,29,br,0.751,0.709,8,-4.216,1,0.0382,0.125,0,0.807,0.515,114.094,219442,4
70,Intenção - Ao Vivo,Marília Mendonça,1125528,https://open.spotify.com/track/1qy7aOHnfnOMJoT1fhoLYG,2019,11,29,br,0.613,0.611,6,-6.587,0,0.0843,0.376,0,0.91,0.628,139.474,202767,4
71,Para não,MC WM,1111734,https://open.spotify.com/track/23GNCotvXa7WPvgYuruJjE,2019,11,29,br,0.775,0.929,11,-3.049,0,0.154,0.467,0,0.358,0.911,150.068,164800,4
72,Onda diferente (feat. Papatinho),Anitta,1108988,https://open.spotify.com/track/2H8ETIUEoN9YMf56X66bxd,2019,11,29,br,0.705,0.721,1,-5.545,0,0.514,0.333,0,0.101,0.574,75.132,160900,4
73,Com ou Sem Mim - Ao Vivo,Gustavo Mioto,1103477,https://open.spotify.com/track/2BU6XXSG8SqiptRuj6EiLA,2019,11,29,br,0.605,0.72,7,-3.616,0,0.0481,0.159,0,0.956,0.296,141.954,201856,4
