Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
16,Roses - Imanbek Remix,SAINt JHN,17619610,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5,2020,9,4,global,0.785,0.721,8,-5.457,1,0.0506,0.0149,0.00432,0.285,0.894,121.962,176219,4
17,"Ay, DiOs Mío!",KAROL G,16926583,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776,2020,9,4,global,0.718,0.712,11,-4.366,1,0.174,0.512,0.00121,0.104,0.531,180.034,189653,4
18,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,16175753,https://open.spotify.com/track/2DQNYMRjisN3KAPj1bEwOI,2020,9,4,global,0.8,0.658,1,-6.142,0,0.079,0.25,0,0.111,0.462,140.042,195429,4
19,UN DIA (ONE DAY) (Feat. Tainy),J Balvin,15604712,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e,2020,9,4,global,0.571,0.693,6,-8.234,0,0.0545,0.00536,0,0.173,0.393,168.169,232253,4
20,POPSTAR (feat. Drake),DJ Khaled,14977351,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq,2020,9,4,global,0.8,0.56,5,-4.818,0,0.261,0.057,0,0.134,0.45,163.071,200221,4
21,La Curiosidad,Jay Wheeler,14735180,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz,2020,9,4,global,0.845,0.677,11,-4.798,0,0.136,0.269,0.000917,0.108,0.68,90.013,219048,4
22,Caramelo,Ozuna,14520825,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo,2020,9,4,global,0.735,0.791,6,-4.462,1,0.0679,0.0529,0.000146,0.145,0.697,168.087,217240,4
23,Come & Go (with Marshmello),Juice WRLD,14466571,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG,2020,9,4,global,0.625,0.814,0,-5.181,1,0.0657,0.0172,0,0.158,0.535,144.991,205485,4
24,you broke me first,Tate McRae,14144803,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,2020,9,4,global,0.642,0.374,4,-9.386,1,0.0545,0.786,0,0.0906,0.0799,124.099,169266,4
25,Dance Monkey,Tones And I,14033358,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2020,9,4,global,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,209755,4
