Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
24,Truth Hurts,Lizzo,4045652,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,2019,11,8,us,0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158.087,173325,4
25,Money In The Grave (Drake ft. Rick Ross),Drake,3934547,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,2019,11,8,us,0.831,0.502,10,-4.045,0,0.046,0.101,0,0.122,0.101,100.541,205427,4
26,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,3918519,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw,2019,11,8,us,0.499,0.8,1,-2.665,0,0.0502,0.0906,0,0.147,0.272,139.919,229573,4
27,Lights Up,Harry Styles,3839540,https://open.spotify.com/track/2plLJpUcYPFrl1sW2pMG63,2019,11,8,us,0.585,0.62,3,-8.09,0,0.0327,0.0426,0.00224,0.15,0.281,101.939,172227,4
28,Make No Sense,YoungBoy Never Broke Again,3803206,https://open.spotify.com/track/6klLvorLoo1sxvZcjJIY8I,2019,11,8,us,0.876,0.733,10,-4.478,0,0.333,0.0208,0,0.0999,0.962,154.904,148630,4
29,Ballin' (with Roddy Ricch),Mustard,3732536,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,2019,11,8,us,0.809,0.545,7,-6.678,1,0.0735,0.392,0,0.151,0.244,97.008,180435,4
30,Baby (Lil Baby feat. DaBaby),Quality Control,3705981,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J,2019,11,8,us,0.97,0.463,10,-7.259,1,0.366,0.0957,0,0.151,0.46,108.003,142417,4
31,Immortal,21 Savage,3599336,https://open.spotify.com/track/4IO8X9W69dIQe0EC5ALXhq,2019,11,8,us,0.741,0.87,6,-3.494,0,0.503,0.00813,0,0.114,0.663,184.194,254723,4
32,bad guy,Billie Eilish,3548237,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019,11,8,us,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
33,Trampoline (with ZAYN),SHAED,3528964,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k,2019,11,8,us,0.619,0.459,7,-5.782,0,0.0334,0.56,0,0.137,0.498,126.803,184280,4
34,Suge,DaBaby,3512359,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB,2019,11,8,us,0.876,0.662,2,-6.482,0,0.426,0.0608,0,0.127,0.844,75.445,163320,4
